Minute,Team1 Gold,Team2 Gold,Winning Team
26,45956,52553,Team2
27,47251,54037,Team2
28,49371,55735,Team2
29,51987,57188,Team2
30,53552,59526,Team2
30,54749,63033,Team2
0,2500,2500,Team1
1,3000,2505,Team1
2,3429,2844,Team1
3,5162,4215,Team1
4,6627,5975,Team1
5,9253,6821,Team1
6,10632,9109,Team1
7,12524,10625,Team1
8,14062,12068,Team1
9,15495,13859,Team1
10,17084,15431,Team1
11,18747,17840,Team1
12,20967,19217,Team1
13,22375,21716,Team1
14,25758,24291,Team1
15,27020,25878,Team1
16,29328,27436,Team1
17,30460,29582,Team1
18,33811,31281,Team1
19,35066,33332,Team1
20,36953,35107,Team1
21,38511,36676,Team1
22,39885,38232,Team1
23,41520,39378,Team1
24,43176,40742,Team1
25,44552,42272,Team1
26,46000,43751,Team1
27,47893,46023,Team1
28,51933,47516,Team1
29,54207,48916,Team1
30,55951,50235,Team1
31,58218,52057,Team1
32,61098,53491,Team1
33,65245,54423,Team1
33,67064,54610,Team1
0,2500,2500,Team2
1,2500,2500,Team2
2,2872,2928,Team2
3,4499,4532,Team2
4,6007,6082,Team2
5,8176,7262,Team2
6,9714,8716,Team2
7,11180,10732,Team2
8,13053,12572,Team2
9,14953,14277,Team2
10,16750,15873,Team2
11,18968,17885,Team2
12,21005,19843,Team2
13,23201,21576,Team2
14,26004,23813,Team2
15,29873,25935,Team2
16,32291,27891,Team2
17,33797,30359,Team2
18,35669,32347,Team2
19,37198,35287,Team2
20,40447,36493,Team2
21,42967,37748,Team2
22,46211,39345,Team2
23,47956,42445,Team2
24,49666,44274,Team2
25,51097,46636,Team2
26,53483,48590,Team2
27,54570,50466,Team2
28,56433,52301,Team2
29,59478,55371,Team2
30,62107,56794,Team2
31,63537,59630,Team2
32,65156,61460,Team2
33,66979,63183,Team2
34,68611,66485,Team2
34,69804,68635,Team2
0,2500,2500,Team2
1,2505,3020,Team2
2,2975,3420,Team2
3,4638,4886,Team2
4,5794,6604,Team2
5,7723,7672,Team2
6,8971,9379,Team2
7,10761,10901,Team2
8,12980,12903,Team2
9,14581,14537,Team2
10,15958,16416,Team2
11,17886,18929,Team2
12,19442,20519,Team2
13,20898,23001,Team2
14,22734,24791,Team2
15,24410,26457,Team2
16,25843,29410,Team2
17,27250,32091,Team2
18,29040,34015,Team2
18,29648,35408,Team2
0,2500,2500,Team1
1,2500,3020,Team1
2,2859,3448,Team1
3,4656,5077,Team1
4,6733,7142,Team1
5,8658,9190,Team1
6,11376,11650,Team1
7,13185,13894,Team1
8,15365,15764,Team1
9,17462,17416,Team1
10,18977,19781,Team1
11,21014,21912,Team1
12,23347,23249,Team1
13,26025,24868,Team1
14,30134,26601,Team1
15,32211,28550,Team1
16,34458,30299,Team1
17,37289,31773,Team1
18,39884,33606,Team1
19,43249,35221,Team1
20,45258,36514,Team1
21,47878,40454,Team1
22,49573,42829,Team1
23,52800,43745,Team1
23,52827,43773,Team1
0,2500,2500,Team2
1,2500,2500,Team2
2,2796,2816,Team2
3,4439,4733,Team2
4,6873,5768,Team2
5,8315,7155,Team2
6,9720,8404,Team2
7,11532,10238,Team2
8,13268,12030,Team2
9,16230,13036,Team2
10,17623,14912,Team2
11,19326,17803,Team2
12,22098,20106,Team2
13,24015,21816,Team2
14,29059,23504,Team2
15,30658,25408,Team2
16,33295,28071,Team2
17,35229,29937,Team2
18,37100,32266,Team2
19,39551,33492,Team2
20,41121,35588,Team2
21,42590,37941,Team2
22,44006,40087,Team2
23,45370,42050,Team2
24,46958,43260,Team2
25,48190,44475,Team2
26,51418,45538,Team2
27,53719,47244,Team2
28,55651,48402,Team2
29,59494,50465,Team2
30,62599,51692,Team2
31,64326,53472,Team2
32,67472,55402,Team2
33,69060,57056,Team2
34,69897,61776,Team2
35,71149,63607,Team2
36,73139,66327,Team2
37,74417,68581,Team2
38,75973,69770,Team2
39,77175,72571,Team2
40,78870,74421,Team2
41,80046,76260,Team2
42,81578,78305,Team2
43,83896,80178,Team2
44,85256,81822,Team2
45,86602,83798,Team2
46,87792,87010,Team2
46,88625,91229,Team2
0,2500,2500,Team2
1,2500,2500,Team2
2,2834,3436,Team2
3,4324,4968,Team2
4,6594,7294,Team2
5,7947,9281,Team2
6,9434,10862,Team2
7,11179,12369,Team2
8,12408,14993,Team2
9,14103,16356,Team2
10,16695,18614,Team2
11,18389,20320,Team2
12,20638,22698,Team2
13,22792,24201,Team2
14,25761,25546,Team2
15,27934,29328,Team2
16,30695,30418,Team2
17,32595,32972,Team2
18,34921,35800,Team2
19,36671,38011,Team2
20,39331,40393,Team2
21,42337,41678,Team2
22,45855,43604,Team2
23,47803,45300,Team2
24,48824,47168,Team2
25,50033,50326,Team2
26,51866,51769,Team2
27,54539,53878,Team2
28,55898,55266,Team2
29,57139,56997,Team2
30,59086,58822,Team2
31,61158,60299,Team2
32,62004,65230,Team2
32,62094,65320,Team2
0,7000,7000,Team2
1,7015,7015,Team2
2,9284,9344,Team2
3,12839,13543,Team2
4,15686,17675,Team2
5,19761,20777,Team2
6,22399,26147,Team2
7,25784,29411,Team2
8,28500,32817,Team2
9,31001,37567,Team2
9,31780,38898,Team2
0,2500,2500,Team2
1,2500,2500,Team2
2,2859,2920,Team2
3,4456,4430,Team2
4,5744,6794,Team2
5,7477,8702,Team2
6,8714,10043,Team2
7,10115,11999,Team2
8,11844,14346,Team2
9,13417,16000,Team2
10,15007,17804,Team2
11,16560,19843,Team2
12,18348,21927,Team2
13,19709,23535,Team2
14,21924,26762,Team2
15,23395,28854,Team2
16,24917,31717,Team2
17,27060,34561,Team2
18,29003,36168,Team2
19,30245,39803,Team2
19,31140,43666,Team2
0,2500,2500,Team2
1,2500,2500,Team2
2,2846,2832,Team2
3,4412,4482,Team2
4,5751,5642,Team2
5,7930,8061,Team2
6,9829,10218,Team2
7,10872,13208,Team2
8,12642,15351,Team2
9,14117,17364,Team2
10,16148,19210,Team2
11,18102,20949,Team2
12,20678,23721,Team2
13,22486,26954,Team2
14,25744,28421,Team2
15,27506,31038,Team2
16,29330,32993,Team2
17,30462,36796,Team2
18,32483,39333,Team2
19,34099,41204,Team2
20,36424,43708,Team2
21,38596,46796,Team2
22,40078,50965,Team2
23,41273,52559,Team2
24,45457,54405,Team2
25,47393,56875,Team2
26,49136,58103,Team2
27,51108,61456,Team2
28,52652,64573,Team2
29,54162,65798,Team2
30,55446,70729,Team2
30,55730,73353,Team2
0,2500,2500,Team2
1,2500,2500,Team2
2,2884,2787,Team2
3,4554,4357,Team2
4,7272,6516,Team2
5,8880,8281,Team2
6,11067,10265,Team2
7,12949,11600,Team2
8,14749,14040,Team2
9,16944,15567,Team2
10,18352,17054,Team2
11,20287,20144,Team2
12,22217,22243,Team2
13,25344,23573,Team2
14,27019,25730,Team2
15,29070,28357,Team2
16,31031,32528,Team2
17,32451,34936,Team2
18,34771,38072,Team2
19,36224,41353,Team2
19,36787,41764,Team2
0,2500,2500,Team1
1,2500,2500,Team1
2,2900,2809,Team1
3,4593,4328,Team1
4,6542,5893,Team1
5,9017,7318,Team1
6,10291,8794,Team1
7,12639,11105,Team1
8,14175,12991,Team1
9,16733,15251,Team1
10,18628,16867,Team1
11,20592,18892,Team1
12,23311,22439,Team1
13,24988,24722,Team1
14,27308,26961,Team1
15,29284,28422,Team1
16,32152,30786,Team1
17,33761,32675,Team1
18,36718,35483,Team1
19,38503,37245,Team1
20,40978,38619,Team1
21,42727,39928,Team1
22,46687,41139,Team1
23,49070,42780,Team1
24,52550,45759,Team1
25,53824,47300,Team1
26,57464,47937,Team1
0,7000,7000,Team1
1,7015,7469,Team1
2,9564,10921,Team1
3,12257,13487,Team1
4,14845,16965,Team1
5,18939,19660,Team1
6,21816,24036,Team1
7,25037,27608,Team1
8,29062,29805,Team1
9,33912,33308,Team1
10,36822,36080,Team1
11,40486,38622,Team1
12,43358,42590,Team1
13,47498,46043,Team1
14,50871,48915,Team1
15,53202,52089,Team1
16,58478,54986,Team1
17,60678,57756,Team1
18,64416,60549,Team1
19,67928,63525,Team1
19,69654,64560,Team1
0,2500,2500,Team1
1,2505,2500,Team1
2,2882,2916,Team1
3,4516,4501,Team1
4,6404,6683,Team1
5,7947,8118,Team1
6,9446,10485,Team1
7,10525,11908,Team1
8,14130,14690,Team1
9,16303,16427,Team1
10,18236,18794,Team1
11,21159,21039,Team1
12,23630,22669,Team1
13,25404,24470,Team1
14,28506,25894,Team1
15,30503,28149,Team1
16,32154,29360,Team1
17,35631,30798,Team1
18,37380,33025,Team1
19,39627,35002,Team1
20,41872,37938,Team1
21,44559,39620,Team1
22,47123,41265,Team1
23,50320,42406,Team1
24,51327,45361,Team1
25,52732,46786,Team1
26,57928,47811,Team1
26,58816,47978,Team1
0,2500,2500,Team1
1,2500,2500,Team1
2,2832,2905,Team1
3,4465,4261,Team1
4,6779,5616,Team1
5,8419,7315,Team1
6,10181,8604,Team1
7,12349,10369,Team1
8,13959,12054,Team1
9,17019,13906,Team1
10,18606,15565,Team1
11,20214,17256,Team1
12,24013,18313,Team1
