,Minute,Team1:TopLane,Team1:Jungle,Team1:MidLane,Team1:AD Carry,Team1:Support,Team2:TopLane,Team2:Jungle,Team2:MidLane,Team2:AD Carry,Team2:Support,Team1:Gold,Team2:Gold,Team1:Kills,Team2:Kills,Team1:TurretsKills,Team2:TurretsKills,Team1:InhibitorsKills,Team2:Inhibitors:Kills,Team1:DragonKills,Team2:DragonKills,Team1:ElderDragonKills,Team2:ElderDragonKills,Team1:BaronKills,Team2:BaronKills,Team1:AverageLevel,Team2:AverageLevel,Winner,MatchID,Elo
0,0,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team2,EUW1_7177092123,Bronze4
1,1,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team2,EUW1_7177092123,Bronze4
2,2,577,611,612,596,524,612,596,626,577,539,2920,2950,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,Team2,EUW1_7177092123,Bronze4
3,3,804,917,941,873,709,1218,1022,948,797,714,4244,4699,0,1,0,0,0,0,0,0,0,0,0,0,2.6,2.4,Team2,EUW1_7177092123,Bronze4
4,4,1130,1413,1524,1256,920,1481,1392,1134,1067,910,6243,5984,1,1,0,0,0,0,0,0,0,0,0,0,3.4,3.4,Team2,EUW1_7177092123,Bronze4
5,5,1651,1693,2089,1392,1115,1799,1854,1333,1280,1255,7940,7521,3,2,0,0,0,0,0,0,0,0,0,0,4.2,3.8,Team2,EUW1_7177092123,Bronze4
6,6,1878,2019,2361,1749,1271,2275,2200,1603,1616,1441,9278,9135,3,2,0,0,0,0,0,0,0,0,0,0,4.8,4.6,Team2,EUW1_7177092123,Bronze4
7,7,2252,2247,2868,2133,1816,2522,2400,1829,1905,1631,11316,10287,5,2,0,0,0,0,0,0,0,0,0,0,5.4,5.2,Team2,EUW1_7177092123,Bronze4
8,8,2576,2475,3405,2422,2032,2909,2727,1986,2194,1827,12910,11643,6,2,0,0,0,0,1,0,0,0,0,0,6.2,5.8,Team2,EUW1_7177092123,Bronze4
9,9,2812,2688,3705,2625,2227,3663,3134,2374,3543,2554,14057,15268,6,6,0,0,0,0,1,0,0,0,0,0,6.4,6.4,Team2,EUW1_7177092123,Bronze4
10,10,3152,3025,4068,2964,2538,3904,3487,2566,3824,2813,15747,16594,7,6,0,0,0,0,1,0,0,0,0,0,6.8,6.8,Team2,EUW1_7177092123,Bronze4
11,11,3473,3747,4902,3356,2788,4235,3693,2982,4190,3046,18266,18146,9,6,0,0,0,0,1,0,0,0,0,0,7.6,7.4,Team2,EUW1_7177092123,Bronze4
12,12,3810,3901,5196,3665,3016,4497,4014,3357,5104,3649,19588,20621,9,8,0,0,0,0,1,0,0,0,0,0,7.8,8.0,Team2,EUW1_7177092123,Bronze4
13,13,3967,4174,5319,4351,3957,4949,4412,4345,5739,4009,21768,23454,11,10,0,0,0,0,1,0,0,0,0,0,8.2,8.4,Team2,EUW1_7177092123,Bronze4
14,14,4282,4366,5972,4659,4259,5219,4683,4778,6096,4181,23538,24957,12,10,0,0,0,0,2,0,0,0,0,0,8.6,8.8,Team2,EUW1_7177092123,Bronze4
15,15,4405,4563,6094,5321,4522,5900,5393,5201,6489,4334,24905,27317,13,13,0,0,0,0,2,0,0,0,0,0,8.8,9.4,Team2,EUW1_7177092123,Bronze4
16,16,4838,4816,6528,5479,4679,6828,6258,5968,7475,5020,26340,31549,13,15,0,3,0,0,2,0,0,0,0,0,9.2,10.0,Team2,EUW1_7177092123,Bronze4
17,17,5073,5099,6713,5949,5284,7097,6476,6264,7755,5182,28118,32774,14,15,0,3,0,0,2,0,0,0,0,0,9.8,10.4,Team2,EUW1_7177092123,Bronze4
18,18,5621,5367,7532,6239,5561,7470,6598,6701,8543,6234,30320,35546,16,18,0,3,0,0,2,0,0,0,0,0,10.0,10.8,Team2,EUW1_7177092123,Bronze4
19,19,5995,5709,8263,6955,5778,7736,7050,6921,8888,6387,32700,36982,17,18,1,3,0,0,2,0,0,0,0,0,10.6,11.0,Team2,EUW1_7177092123,Bronze4
20,20,6259,5951,8568,7365,6710,8249,7977,7121,10040,7188,34853,40575,19,22,1,3,0,0,2,0,0,0,0,0,10.8,11.6,Team2,EUW1_7177092123,Bronze4
21,21,6536,6124,9098,7739,7017,9253,8259,7400,10216,7395,36514,42523,20,22,3,3,0,0,2,1,0,0,0,0,11.0,11.8,Team2,EUW1_7177092123,Bronze4
22,22,7084,6497,9416,8008,7170,9655,8593,7655,10611,7605,38175,44119,20,22,3,3,0,0,2,1,0,0,0,0,11.6,12.2,Team2,EUW1_7177092123,Bronze4
23,23,7992,7080,9671,8971,7558,11094,9563,8141,11167,8107,41272,48072,24,25,3,3,0,0,2,1,0,0,0,1,12.0,13.2,Team2,EUW1_7177092123,Bronze4
24,24,8114,7202,9989,9128,7711,11366,10158,8263,11527,8260,42144,49574,24,26,3,3,0,0,2,1,0,0,0,1,12.0,13.4,Team2,EUW1_7177092123,Bronze4
25,25,8271,7459,10378,10187,7977,12606,10540,8990,12368,8522,44272,53026,26,26,4,5,0,0,2,1,0,0,0,1,12.8,13.4,Team2,EUW1_7177092123,Bronze4
26,26,8684,7637,11019,10533,8207,12777,10980,9197,12554,8725,46080,54233,27,27,4,5,0,1,2,1,0,0,0,1,13.0,13.6,Team2,EUW1_7177092123,Bronze4
27,27,8807,7759,11429,10871,8404,13581,11319,9396,13857,9177,47270,57330,28,30,4,5,0,1,2,2,0,0,0,1,13.0,14.2,Team2,EUW1_7177092123,Bronze4
28,28,9291,7910,11928,11348,8668,14338,11791,9594,14262,9405,49145,59390,28,30,5,6,0,1,2,2,0,0,0,1,13.6,14.4,Team2,EUW1_7177092123,Bronze4
29,29,9625,8304,12500,13360,9317,15305,12573,9769,14817,9669,53106,62133,33,33,6,6,0,1,2,2,0,0,0,1,14.4,14.8,Team2,EUW1_7177092123,Bronze4
30,30,9886,8426,13034,13699,9504,15427,12701,9891,14939,9851,54549,62809,33,33,6,6,0,1,2,2,0,0,0,1,14.6,14.8,Team2,EUW1_7177092123,Bronze4
31,31,10502,8549,13156,13917,9842,15837,13781,10423,15599,10568,55966,66208,34,37,6,7,1,1,2,2,0,0,0,1,14.6,15.4,Team2,EUW1_7177092123,Bronze4
32,31,10520,8566,13173,13934,9864,16397,13799,10441,15617,10590,56057,66844,34,38,6,7,1,1,2,2,0,0,0,1,14.6,15.6,Team2,EUW1_7177092123,Bronze4
33,0,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team1,EUW1_7177030376,Bronze4
34,1,500,500,500,521,505,500,505,500,500,505,2526,2510,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team1,EUW1_7177030376,Bronze4
35,2,521,621,556,613,529,646,616,991,563,529,2840,3345,0,1,0,0,0,0,0,0,0,0,0,0,1.2,1.2,Team1,EUW1_7177030376,Bronze4
36,3,818,1022,811,844,757,817,963,1211,748,757,4252,4496,0,1,0,0,0,0,0,0,0,0,0,0,2.6,2.2,Team1,EUW1_7177030376,Bronze4
37,4,1289,1395,1088,1081,926,982,1340,1349,955,912,5779,5538,1,1,0,0,0,0,0,0,0,0,0,0,3.4,3.2,Team1,EUW1_7177030376,Bronze4
38,5,1892,1578,1273,1363,1140,1216,1562,1639,1210,1147,7246,6774,2,1,0,0,0,0,0,0,0,0,0,0,4.2,3.8,Team1,EUW1_7177030376,Bronze4
39,6,2176,2128,1904,1630,1400,1444,2035,1895,1513,1468,9238,8355,4,2,0,0,0,0,0,0,0,0,0,0,4.6,4.4,Team1,EUW1_7177030376,Bronze4
40,7,2407,2457,2419,2009,1636,1730,2337,2113,1796,1668,10928,9644,5,2,0,0,0,0,0,0,0,0,0,0,5.2,5.0,Team1,EUW1_7177030376,Bronze4
41,8,2724,2785,3037,2320,1908,1936,2568,2354,2162,1849,12774,10869,6,2,0,0,0,0,0,0,0,0,0,0,6.2,5.6,Team1,EUW1_7177030376,Bronze4
42,9,3003,3127,3627,2470,2165,2136,2705,2559,2306,2107,14392,11813,7,2,0,0,0,0,0,0,0,0,0,0,6.6,6.0,Team1,EUW1_7177030376,Bronze4
43,10,3515,3959,3903,3054,2515,2530,3182,2850,2933,2421,16946,13916,11,3,0,0,0,0,1,0,0,0,0,0,6.8,6.6,Team1,EUW1_7177030376,Bronze4
44,11,4020,4231,4686,3419,2708,2744,3410,3071,3133,2573,19064,14931,12,3,0,0,0,0,1,0,0,0,0,0,7.6,6.8,Team1,EUW1_7177030376,Bronze4
45,12,4256,4551,5064,3960,2992,3042,3758,3341,3374,2846,20823,16361,12,3,0,0,0,0,1,0,0,0,0,0,8.0,7.4,Team1,EUW1_7177030376,Bronze4
46,13,4504,4939,5924,4386,3454,3237,3972,3485,3587,3077,23207,17358,14,3,0,0,0,0,1,0,0,0,0,0,8.6,7.6,Team1,EUW1_7177030376,Bronze4
47,14,4904,5280,6629,4877,3816,3493,4499,3935,3815,3326,25506,19068,15,4,0,0,0,0,1,0,0,0,0,0,9.2,8.0,Team1,EUW1_7177030376,Bronze4
48,15,6020,5814,7649,5672,4168,3837,4702,4217,4087,3625,29323,20468,17,4,3,0,0,0,1,0,0,0,0,0,9.4,8.4,Team1,EUW1_7177030376,Bronze4
49,16,6933,6369,7786,6612,4494,4097,5848,4554,4348,3777,32194,22624,21,5,3,0,0,0,2,0,0,0,0,0,10.2,8.8,Team1,EUW1_7177030376,Bronze4
50,17,7296,6848,8118,6839,4699,4287,6090,4871,4470,3929,33800,23647,22,5,3,0,0,0,2,0,0,0,0,0,10.2,9.0,Team1,EUW1_7177030376,Bronze4
51,18,7621,7136,8342,7094,4897,4484,7501,5233,4892,4274,35090,26384,23,8,3,0,0,0,2,0,0,0,0,0,10.8,9.4,Team1,EUW1_7177030376,Bronze4
52,19,7994,7577,8792,7343,5287,4654,7842,5578,5196,4510,36993,27780,24,8,4,0,0,0,2,0,0,0,0,0,11.2,10.0,Team1,EUW1_7177030376,Bronze4
53,20,8699,7944,9146,7724,5500,4957,8047,5722,5548,4691,39013,28965,25,8,4,0,0,0,2,0,0,0,0,0,11.6,10.4,Team1,EUW1_7177030376,Bronze4
54,21,9844,8491,9734,7974,6531,5185,8170,5845,5922,4857,42574,29979,29,8,5,0,0,0,2,0,0,0,0,0,12.2,10.6,Team1,EUW1_7177030376,Bronze4
55,22,10316,8962,10066,8210,6921,5722,8455,6191,6086,5638,44475,32092,29,10,7,0,1,0,3,0,0,0,0,0,12.4,11.0,Team1,EUW1_7177030376,Bronze4
56,23,11355,9368,10518,8696,7108,6143,8791,6729,6257,5865,47045,33785,30,10,8,0,1,0,3,0,0,0,0,0,12.6,11.4,Team1,EUW1_7177030376,Bronze4
57,24,12008,9997,11082,9619,7560,6272,8942,7029,6500,6039,50266,34782,34,10,9,0,1,0,3,0,0,0,0,0,13.4,11.4,Team1,EUW1_7177030376,Bronze4
58,24,12634,10360,11355,10051,8074,6418,9491,7161,6953,6271,52474,36294,36,11,11,0,3,0,3,0,0,0,0,0,13.8,12.0,Team1,EUW1_7177030376,Bronze4
59,0,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team2,EUW1_7176868282,Bronze4
60,1,500,500,511,500,500,500,500,500,500,500,2511,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team2,EUW1_7176868282,Bronze4
61,2,521,611,582,563,539,598,596,598,612,524,2816,2928,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,Team2,EUW1_7176868282,Bronze4
62,3,850,1022,923,881,709,783,967,888,941,729,4385,4308,0,0,0,0,0,0,0,0,0,0,0,0,2.6,2.6,Team2,EUW1_7176868282,Bronze4
63,4,1155,1395,1168,1246,895,1488,1315,1249,1239,905,5859,6196,0,1,0,0,0,0,0,0,0,0,0,0,3.6,3.4,Team2,EUW1_7176868282,Bronze4
64,5,1501,1539,1524,1536,1145,1778,1518,1602,1536,1120,7245,7554,0,1,0,0,0,0,0,0,0,0,0,0,4.4,4.4,Team2,EUW1_7176868282,Bronze4
65,6,1767,1885,1918,2064,1286,2027,1864,1987,1841,1261,8920,8980,1,1,0,0,0,0,0,0,0,0,0,0,5.2,5.2,Team2,EUW1_7176868282,Bronze4
66,7,2043,2192,2215,2235,1558,2354,2093,2265,2098,1472,10243,10282,1,1,0,0,0,0,0,0,0,0,0,0,5.6,5.8,Team2,EUW1_7176868282,Bronze4
67,8,2186,2426,2549,2601,1759,2846,2321,2617,2471,1663,11521,11918,1,2,0,0,0,0,1,0,0,0,0,0,6.4,6.0,Team2,EUW1_7176868282,Bronze4
68,9,2442,2747,2939,2871,1959,3186,2648,3036,2874,1884,12958,13628,1,2,0,0,0,0,1,0,0,0,0,0,6.8,6.8,Team2,EUW1_7176868282,Bronze4
69,10,2748,2975,3145,3198,2152,3488,3161,3679,3220,2185,14218,15733,1,3,0,0,0,0,1,0,0,0,0,0,7.0,7.4,Team2,EUW1_7176868282,Bronze4
70,11,3100,3302,3429,3654,2448,3779,3408,4066,3501,2337,15933,17091,1,3,0,0,0,0,1,0,0,0,0,0,7.6,7.8,Team2,EUW1_7176868282,Bronze4
71,12,3356,3504,3775,4806,3164,4334,3530,4580,3623,2555,18605,18622,4,4,0,0,0,0,1,0,0,0,0,0,8.4,8.2,Team2,EUW1_7176868282,Bronze4
72,13,3813,3832,4325,5118,3352,4540,3753,4807,3819,2836,20440,19755,5,4,0,0,0,0,1,0,0,0,0,0,8.4,8.4,Team2,EUW1_7176868282,Bronze4
73,14,3971,4026,4679,5408,3641,5139,3920,5098,4197,3077,21725,21431,5,5,0,0,0,0,1,0,0,0,0,0,9.0,8.6,Team2,EUW1_7176868282,Bronze4
74,15,4275,4341,4942,5614,3848,5443,4153,5414,4320,3251,23020,22581,5,5,0,0,0,0,1,0,0,0,0,0,9.4,9.2,Team2,EUW1_7176868282,Bronze4
75,16,4597,4464,5186,5767,4001,5720,4640,5854,5170,3594,24015,24978,5,7,0,0,0,0,1,1,0,0,0,0,9.6,9.4,Team2,EUW1_7176868282,Bronze4
76,17,4880,4845,5668,6119,4183,6058,5059,6255,5678,3797,25695,26847,5,7,0,0,0,0,1,1,0,0,0,0,10.0,10.2,Team2,EUW1_7176868282,Bronze4
77,18,5253,5131,6032,6486,4355,6453,5422,6691,5979,3985,27257,28530,5,7,0,0,0,0,1,1,0,0,0,0,10.4,10.6,Team2,EUW1_7176868282,Bronze4
78,19,5672,6070,6429,6880,4551,6856,5761,7511,6381,4167,29602,30676,6,9,0,0,0,0,1,1,0,0,0,0,10.8,11.0,Team2,EUW1_7176868282,Bronze4
79,20,5857,6516,6685,7121,4703,7085,6138,8317,7189,4459,30882,33188,6,10,1,0,0,0,1,1,0,0,0,0,11.2,11.4,Team2,EUW1_7176868282,Bronze4
80,21,5988,6638,6930,7631,5003,7837,6385,9148,7840,4741,32190,35951,7,13,2,0,0,0,1,1,0,0,0,0,11.6,12.0,Team2,EUW1_7176868282,Bronze4
81,22,6334,7036,7274,8025,5209,8037,6802,9639,8241,4953,33878,37672,7,13,2,0,0,0,1,1,0,0,0,0,11.8,12.2,Team2,EUW1_7176868282,Bronze4
82,23,7247,7514,7619,8198,5447,8180,7278,10575,8817,5223,36025,40073,8,16,3,0,0,0,1,2,0,0,0,0,12.2,12.6,Team2,EUW1_7176868282,Bronze4
83,24,7580,7637,7958,8431,5620,8484,7695,10898,9122,5375,37226,41574,8,16,3,0,0,0,1,2,0,0,0,0,12.8,13.0,Team2,EUW1_7176868282,Bronze4
84,25,8064,8212,8430,9224,5958,9523,7947,11268,9513,5610,39888,43861,9,16,5,0,0,0,1,2,0,0,0,0,13.2,13.2,Team2,EUW1_7176868282,Bronze4
85,26,8486,8486,8594,9576,6130,9943,8554,11765,10270,6037,41272,46569,9,17,6,1,0,0,1,2,0,0,0,0,13.4,14.0,Team2,EUW1_7176868282,Bronze4
86,27,8761,9012,9086,11593,6582,10503,8771,11888,10745,6336,45034,48243,12,18,6,1,0,0,1,2,0,0,0,0,13.8,14.2,Team2,EUW1_7176868282,Bronze4
87,28,9192,9293,9234,11951,6736,10627,8899,12332,10888,6563,46406,49309,13,18,6,1,0,0,1,2,0,0,0,0,14.2,14.2,Team2,EUW1_7176868282,Bronze4
88,29,9502,9556,9599,12207,6919,11034,9297,12559,11164,6729,47783,50783,13,18,6,1,0,0,2,2,0,0,0,0,14.4,14.4,Team2,EUW1_7176868282,Bronze4
89,30,9736,9878,10005,12334,7071,11365,9760,12988,11291,7039,49024,52443,13,19,6,1,0,0,2,2,0,0,0,0,14.6,14.4,Team2,EUW1_7176868282,Bronze4
90,31,10032,10179,10172,12687,7223,11563,10182,13455,11703,7491,50293,54394,13,21,6,1,0,0,2,2,0,0,0,0,14.6,15.2,Team2,EUW1_7176868282,Bronze4
91,32,10154,10306,10352,12841,7376,12505,10840,13915,13022,8105,51029,58387,13,24,6,1,0,0,2,2,0,0,0,1,14.8,16.2,Team2,EUW1_7176868282,Bronze4
92,33,10291,10454,10663,13366,7618,13268,11364,14693,13540,8357,52392,61222,13,25,6,3,0,0,2,2,0,0,0,1,15.2,16.2,Team2,EUW1_7176868282,Bronze4
93,34,10431,10786,10986,13990,7799,13675,11806,14935,13750,8641,53992,62807,13,25,6,3,0,0,2,3,0,0,0,1,15.4,16.2,Team2,EUW1_7176868282,Bronze4
94,35,10929,11236,11376,14495,7979,13992,12287,15218,14109,8794,56015,64400,13,25,6,3,0,1,2,3,0,0,0,1,16.0,16.4,Team2,EUW1_7176868282,Bronze4
95,36,11454,11652,12776,15679,8437,14150,12410,15389,14232,8967,59998,65148,18,25,6,3,0,1,2,3,0,0,0,1,16.4,16.4,Team2,EUW1_7176868282,Bronze4
96,37,12505,12183,13570,16106,8831,14314,12532,15910,14375,9373,63195,66504,18,26,9,3,0,1,2,3,0,0,0,1,16.6,16.6,Team2,EUW1_7176868282,Bronze4
97,38,12931,12306,13810,16494,9018,14986,12890,16109,14502,9536,64559,68023,18,26,9,3,0,1,2,3,0,0,0,1,16.8,16.6,Team2,EUW1_7176868282,Bronze4
98,39,13200,12548,13991,16748,9201,15290,13012,16266,14688,9688,65688,68944,18,26,9,3,0,1,2,3,0,0,0,1,16.8,16.6,Team2,EUW1_7176868282,Bronze4
99,40,13350,12670,14191,16870,9373,15412,13205,16419,14943,9865,66454,69844,18,26,9,3,0,1,2,4,0,0,0,1,17.0,16.8,Team2,EUW1_7176868282,Bronze4
100,41,13830,12793,14549,16993,9525,15739,13641,16689,15782,10130,67690,71981,18,28,9,3,0,1,2,4,0,0,0,1,17.0,17.0,Team2,EUW1_7176868282,Bronze4
101,42,14081,13039,15362,17215,9792,16025,13953,17648,16741,10397,69489,74764,20,31,9,3,0,2,2,4,0,0,0,1,17.2,17.2,Team2,EUW1_7176868282,Bronze4
102,43,14208,13742,15485,17574,9979,16224,14371,18007,17308,10549,70988,76459,20,31,9,3,0,2,2,4,0,0,0,1,17.2,17.4,Team2,EUW1_7176868282,Bronze4
103,44,14335,13886,15828,18280,10271,16483,14568,18174,17431,10741,72600,77397,21,31,9,3,0,2,2,4,0,0,0,1,17.2,17.4,Team2,EUW1_7176868282,Bronze4
104,45,14873,14463,16431,19297,10824,16647,14690,18651,17588,10904,75888,78480,22,31,10,3,0,2,2,4,0,0,1,1,17.8,17.4,Team2,EUW1_7176868282,Bronze4
105,46,15292,14746,16884,19719,10976,16916,14813,19143,18217,11290,77617,80379,23,32,10,3,0,2,2,4,0,0,1,1,17.8,17.4,Team2,EUW1_7176868282,Bronze4
106,47,16144,15238,17829,20426,11503,17038,14935,19415,19404,11442,81140,82234,25,34,10,3,0,2,2,4,1,0,1,1,17.8,17.6,Team2,EUW1_7176868282,Bronze4
107,48,16322,15409,17952,20771,11704,17300,15107,19579,20407,11658,82158,84051,26,35,10,3,1,2,2,4,1,0,1,1,17.8,17.8,Team2,EUW1_7176868282,Bronze4
108,49,17285,15556,18295,21029,11901,17534,15470,20408,20604,11860,84066,85876,26,35,11,3,1,2,2,4,1,0,1,1,17.8,17.8,Team2,EUW1_7176868282,Bronze4
109,50,17680,16025,18727,22359,12206,17684,15627,20683,21116,12129,86997,87239,29,36,11,3,1,2,2,4,1,0,1,1,18.0,17.8,Team2,EUW1_7176868282,Bronze4
110,51,18372,16761,19016,22780,12484,18641,15749,20805,21239,12550,89413,88984,29,37,14,3,2,2,2,4,1,0,1,1,18.0,18.0,Team2,EUW1_7176868282,Bronze4
111,52,18495,17151,19252,23453,12636,19217,16172,21485,22562,12977,90987,92413,31,40,14,3,2,2,2,4,1,0,1,1,18.0,18.0,Team2,EUW1_7176868282,Bronze4
112,53,18867,17643,19880,23978,13038,19644,16678,22047,23099,13507,93406,94975,31,40,14,3,2,3,2,4,2,0,1,2,18.0,18.0,Team2,EUW1_7176868282,Bronze4
113,54,19127,18018,20436,24163,13288,19841,17253,22260,24733,13974,95032,98061,32,44,15,3,2,3,2,4,2,0,1,2,18.0,18.0,Team2,EUW1_7176868282,Bronze4
114,54,19168,18197,20476,24204,13339,19982,17728,22629,25330,14242,95384,99911,32,45,15,5,3,3,2,4,2,0,1,2,18.0,18.0,Team2,EUW1_7176868282,Bronze4
115,0,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team2,EUW1_7176827479,Bronze4
116,1,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team2,EUW1_7176827479,Bronze4
117,2,542,611,584,626,539,584,611,577,577,539,2902,2888,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,Team2,EUW1_7176827479,Bronze4
118,3,730,993,892,1460,1215,903,938,892,804,716,5290,4253,2,0,0,0,0,0,0,0,0,0,0,0,2.8,2.6,Team2,EUW1_7176827479,Bronze4
119,4,927,1395,1134,1694,1440,1728,1335,1127,1011,872,6590,6073,2,2,0,0,0,0,0,0,0,0,0,0,3.4,3.2,Team2,EUW1_7176827479,Bronze4
120,5,1206,1618,1389,2055,1668,2018,1518,1536,1280,1042,7936,7394,2,2,0,0,0,0,0,0,0,0,0,0,4.2,4.0,Team2,EUW1_7176827479,Bronze4
121,6,1329,1925,1683,2564,1976,2542,1755,1858,1438,1249,9477,8842,3,2,0,0,0,0,0,0,0,0,0,0,5.0,4.6,Team2,EUW1_7176827479,Bronze4
122,7,1608,2145,1996,2892,2183,3237,2081,2015,1735,1449,10824,10517,3,3,0,0,0,0,0,0,0,0,0,0,5.2,5.4,Team2,EUW1_7176827479,Bronze4
123,8,2473,2481,2209,3163,2361,3457,2344,2771,1885,1709,12687,12166,4,4,0,0,0,0,0,0,0,0,0,0,5.8,6.0,Team2,EUW1_7176827479,Bronze4
124,9,2617,3043,2512,3306,2981,3841,2582,3120,2520,2115,14459,14178,6,5,0,0,0,0,0,0,0,0,0,0,6.4,6.4,Team2,EUW1_7176827479,Bronze4
125,10,3014,3165,2718,3906,3299,4574,2944,3291,2664,2337,16102,15810,7,6,0,0,0,0,0,0,0,0,0,0,6.8,6.8,Team2,EUW1_7176827479,Bronze4
126,11,3424,3622,3299,4300,3516,4890,3464,3414,2994,2510,18161,17272,7,6,0,0,0,0,0,0,0,0,0,0,7.2,7.4,Team2,EUW1_7176827479,Bronze4
127,12,3631,3994,3730,4895,4188,5273,3673,3912,3131,2672,20438,18661,10,6,0,0,0,0,1,0,0,0,0,0,7.8,8.0,Team2,EUW1_7176827479,Bronze4
128,13,3999,4391,3979,5123,4360,5542,4240,4523,3582,2844,21852,20731,10,7,0,0,0,0,1,0,0,0,0,0,8.0,8.4,Team2,EUW1_7176827479,Bronze4
129,14,4213,4514,4245,5466,4637,6939,4743,5244,3947,3133,23075,24006,10,8,0,1,0,0,1,0,0,0,0,0,8.6,8.8,Team2,EUW1_7176827479,Bronze4
130,15,4658,4910,4535,5698,4824,7322,5225,5527,4208,3775,24625,26057,10,9,0,1,0,0,1,0,0,0,0,0,8.8,9.6,Team2,EUW1_7176827479,Bronze4
131,16,4951,5158,4871,6185,5145,7728,6002,6184,4380,4064,26310,28358,11,10,0,2,0,0,1,0,0,0,0,0,9.4,9.8,Team2,EUW1_7176827479,Bronze4
132,17,5546,5360,5311,6396,5303,8671,6809,6706,4762,4350,27916,31298,12,13,0,3,0,0,1,0,0,0,0,0,9.8,10.0,Team2,EUW1_7176827479,Bronze4
133,18,5946,5846,5531,7000,5710,8975,7037,7414,4959,4597,30033,32982,12,14,1,3,0,0,1,0,0,0,0,0,10.0,10.4,Team2,EUW1_7176827479,Bronze4
134,19,6174,6173,5911,7169,5862,9689,7677,8447,5262,5014,31289,36089,12,16,1,4,0,0,1,1,0,0,0,0,10.6,11.2,Team2,EUW1_7176827479,Bronze4
135,20,6452,6741,7113,7853,6490,9881,7909,9096,5398,5166,34649,37450,15,18,2,4,0,0,1,1,0,0,0,0,11.0,11.4,Team2,EUW1_7176827479,Bronze4
136,21,6874,7295,8146,8080,6798,10219,8301,9406,5521,5319,37193,38766,17,18,2,4,0,0,1,1,0,0,0,0,11.2,11.6,Team2,EUW1_7176827479,Bronze4
137,22,7119,7526,8507,8251,7174,11336,8449,9581,5668,5496,38577,40530,19,18,2,5,0,0,1,1,0,0,0,0,11.8,11.6,Team2,EUW1_7176827479,Bronze4
138,23,7673,7648,8665,8416,7326,12342,10068,10414,6373,6482,39728,45679,20,22,2,6,0,1,1,1,0,0,0,1,12.0,12.6,Team2,EUW1_7176827479,Bronze4
139,24,8491,7837,9072,8570,7661,13305,10304,10871,6848,6635,41631,47963,23,25,2,6,0,1,1,1,0,0,0,1,12.2,13.0,Team2,EUW1_7176827479,Bronze4
140,25,8634,8169,9344,8937,7925,13503,10911,11534,7045,6822,43009,49815,23,26,2,6,0,1,1,2,0,0,0,1,12.6,13.4,Team2,EUW1_7176827479,Bronze4
141,26,8984,8291,9828,9260,8133,13904,11478,12016,7173,6975,44496,51546,23,27,2,6,0,1,1,2,0,0,0,1,13.0,13.8,Team2,EUW1_7176827479,Bronze4
142,27,9169,8414,10080,9653,8285,14750,11883,12728,7644,7417,45601,54422,23,30,2,7,0,2,1,2,0,0,0,1,13.2,14.0,Team2,EUW1_7176827479,Bronze4
143,28,9366,8651,11073,10614,8587,14873,12655,12850,7766,7569,48291,55713,27,31,2,7,0,2,1,2,0,0,0,1,13.6,14.2,Team2,EUW1_7176827479,Bronze4
144,29,10031,9344,11365,10993,8755,15518,13417,13124,7985,7804,50488,57848,28,31,2,8,0,2,1,2,0,0,0,1,14.4,14.6,Team2,EUW1_7176827479,Bronze4
145,30,10280,9512,11744,11463,9077,16550,13630,13688,8573,8097,52076,60538,30,34,3,8,0,3,1,2,0,0,0,1,14.6,15.0,Team2,EUW1_7176827479,Bronze4
146,31,10594,9876,12390,12062,9731,16921,14197,13860,8745,8299,54653,62022,32,35,4,8,0,3,1,3,0,0,0,1,15.2,15.2,Team2,EUW1_7176827479,Bronze4
147,32,10792,10313,13104,12392,9959,17043,14921,14025,8944,8452,56560,63385,33,36,4,8,0,3,1,3,0,0,0,1,15.4,15.6,Team2,EUW1_7176827479,Bronze4
148,32,10865,10387,13213,12466,10182,17180,15639,14098,9239,8642,57113,64798,33,38,4,8,0,4,1,3,0,0,0,1,15.4,15.8,Team2,EUW1_7176827479,Bronze4
149,0,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team2,EUW1_7176720317,Bronze4
150,1,500,500,550,970,550,500,500,500,500,500,3070,2500,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team2,EUW1_7176720317,Bronze4
