,Minute,Team1:TopLane,Team1:Jungle,Team1:MidLane,Team1:AD Carry,Team1:Support,Team2:TopLane,Team2:Jungle,Team2:MidLane,Team2:AD Carry,Team2:Support,Team1:Gold,Team2:Gold,Team1:Kills,Team2:Kills,Team1:TurretsKills,Team2:TurretsKills,Team1:InhibitorsKills,Team2:Inhibitors:Kills,Team1:DragonKills,Team2:DragonKills,Team1:ElderDragonKills,Team2:ElderDragonKills,Team1:BaronKills,Team2:BaronKills,Team1:AverageLevel,Team2:AverageLevel,Winner,MatchID,Elo
7249,3,883,882,920,829,694,741,993,981,997,1134,4208,4846,0,1,0,0,0,0,0,0,0,0,0,0,2.2,2.4,Team2,EUW1_7209046941,Diamond4
7250,4,1094,1335,1218,1141,865,1207,1649,1286,1295,1320,5653,6757,0,2,0,0,0,0,0,0,0,0,0,0,3.6,3.6,Team2,EUW1_7209046941,Diamond4
7251,5,1454,1988,1894,2109,1255,1385,1901,1639,1564,1500,8700,7989,4,2,0,0,0,0,0,0,0,0,0,0,4.4,4.4,Team2,EUW1_7209046941,Diamond4
7252,6,1847,2314,2236,2316,1411,1630,2144,2003,1837,1691,10124,9305,4,2,0,0,0,0,0,1,0,0,0,0,5.2,4.8,Team2,EUW1_7209046941,Diamond4
7253,7,2134,2644,2474,2693,1576,2070,2790,2209,2183,1881,11521,11133,4,3,0,0,0,0,0,1,0,0,0,0,5.4,5.4,Team2,EUW1_7209046941,Diamond4
7254,8,2389,2927,2832,3010,1787,2269,3121,2499,2695,2216,12945,12800,4,3,0,0,0,0,0,1,0,0,0,0,6.2,6.2,Team2,EUW1_7209046941,Diamond4
7255,9,3115,3160,3032,3274,2029,2485,3509,2890,3100,2426,14610,14410,4,3,0,0,0,0,0,1,0,0,0,0,6.8,6.6,Team2,EUW1_7209046941,Diamond4
7256,10,3898,3387,3252,3550,2180,2691,3631,3242,3327,2652,16267,15543,5,3,0,0,0,0,0,1,0,0,0,0,7.0,6.8,Team2,EUW1_7209046941,Diamond4
7257,11,4267,3680,3540,3834,2471,3104,4116,3934,3736,2991,17792,17881,5,4,0,0,0,0,0,1,0,0,0,0,7.8,7.6,Team2,EUW1_7209046941,Diamond4
7258,12,4635,3917,3937,4033,2628,3486,4423,4318,4099,3193,19150,19519,5,4,0,0,0,0,0,1,0,0,0,0,7.8,7.8,Team2,EUW1_7209046941,Diamond4
7259,13,5099,4214,4106,4729,3172,3683,4670,4956,4326,3789,21320,21424,7,6,0,0,0,0,1,1,0,0,0,0,8.4,8.4,Team2,EUW1_7209046941,Diamond4
7260,14,6678,4654,4539,5006,3459,3862,5176,5394,4665,4082,24336,23179,8,6,1,0,0,0,1,1,0,0,0,0,9.0,8.6,Team2,EUW1_7209046941,Diamond4
7261,15,7706,5031,5597,5405,3726,4300,5494,5825,5410,4943,27465,25972,10,8,2,1,0,0,1,1,0,0,0,0,9.4,9.4,Team2,EUW1_7209046941,Diamond4
7262,16,8070,5419,5861,5933,4029,5006,5756,6189,5852,5185,29312,27988,10,8,3,2,0,0,1,1,0,0,0,0,9.8,9.6,Team2,EUW1_7209046941,Diamond4
7263,17,8490,5918,6593,6268,4181,5198,6727,6833,6218,5388,31450,30364,11,10,3,2,0,0,1,1,0,0,0,0,10.2,10.2,Team2,EUW1_7209046941,Diamond4
7264,18,8612,6361,6720,6775,4353,5558,7533,7081,6723,5620,32821,32515,12,11,3,3,0,0,1,2,0,0,0,0,10.6,10.4,Team2,EUW1_7209046941,Diamond4
7265,19,10147,6509,6868,6964,4576,6064,7971,8570,6999,6416,35064,36020,13,15,4,3,0,0,1,2,0,0,0,0,10.8,11.2,Team2,EUW1_7209046941,Diamond4
7266,20,10380,6815,7375,7233,4878,7000,8703,8972,7626,7043,36681,39344,14,16,4,5,0,0,1,2,0,0,0,0,11.0,11.4,Team2,EUW1_7209046941,Diamond4
7267,21,10719,7217,7558,7461,5031,7604,9176,9693,8188,7583,37986,42244,14,16,4,5,0,0,1,2,0,0,0,1,11.0,12.4,Team2,EUW1_7209046941,Diamond4
7268,22,10862,7729,7701,7862,5188,7860,10146,10656,8585,7806,39342,45053,14,17,4,6,0,0,1,2,0,0,0,1,11.4,13.2,Team2,EUW1_7209046941,Diamond4
7269,23,11867,8122,7921,8879,5565,8424,10350,10803,9094,8176,42354,46847,16,17,5,6,0,0,1,2,0,0,0,1,12.4,13.2,Team2,EUW1_7209046941,Diamond4
7270,24,12237,8245,8260,9176,5723,9017,10688,11382,9663,8722,43641,49472,16,19,5,7,2,0,1,3,0,0,0,1,12.4,13.6,Team2,EUW1_7209046941,Diamond4
7271,25,12369,8784,8661,9298,5945,9139,11119,11944,10203,8969,45057,51374,16,20,5,7,2,0,1,3,0,0,0,1,12.8,13.8,Team2,EUW1_7209046941,Diamond4
7272,25,12527,9196,8760,9397,6459,9656,11942,12554,10555,9346,46339,54053,17,23,6,8,2,0,1,3,0,0,0,1,13.0,14.2,Team2,EUW1_7209046941,Diamond4
7273,0,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team1,EUW1_7224554872,Diamond4
7274,1,500,500,500,500,500,500,500,500,500,500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,Team1,EUW1_7224554872,Diamond4
7275,2,542,521,598,563,524,598,1046,568,612,544,2748,3368,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.4,Team1,EUW1_7224554872,Diamond4
7276,3,720,703,895,913,709,934,1388,1146,997,734,3940,5199,0,2,0,0,0,0,0,0,0,0,0,0,2.0,2.6,Team1,EUW1_7224554872,Diamond4
7277,4,1308,826,1214,1218,925,1426,1751,1671,1288,925,5491,7061,1,4,0,0,0,0,0,0,0,0,0,0,3.0,3.6,Team1,EUW1_7224554872,Diamond4
