Minute,Team1 Gold,Team2 Gold,Winning Team,Match ID
5,7362,8284,Team2,EUW1_7213551700
6,9862,9542,Team2,EUW1_7213551700
7,11027,11131,Team2,EUW1_7213551700
8,12450,12769,Team2,EUW1_7213551700
9,14440,14037,Team2,EUW1_7213551700
10,15830,16558,Team2,EUW1_7213551700
11,17160,18385,Team2,EUW1_7213551700
12,20001,21377,Team2,EUW1_7213551700
13,21249,22796,Team2,EUW1_7213551700
14,23877,24667,Team2,EUW1_7213551700
15,25106,27022,Team2,EUW1_7213551700
16,27561,29226,Team2,EUW1_7213551700
17,29736,31405,Team2,EUW1_7213551700
18,31405,33219,Team2,EUW1_7213551700
19,35243,34753,Team2,EUW1_7213551700
20,37256,35838,Team2,EUW1_7213551700
21,39855,37749,Team2,EUW1_7213551700
22,41811,39380,Team2,EUW1_7213551700
23,44377,41715,Team2,EUW1_7213551700
24,45654,43014,Team2,EUW1_7213551700
25,47533,45903,Team2,EUW1_7213551700
26,48524,47642,Team2,EUW1_7213551700
27,50740,48947,Team2,EUW1_7213551700
28,52286,50719,Team2,EUW1_7213551700
29,53787,53317,Team2,EUW1_7213551700
30,54688,56127,Team2,EUW1_7213551700
31,56007,59870,Team2,EUW1_7213551700
32,57693,61622,Team2,EUW1_7213551700
33,59566,64314,Team2,EUW1_7213551700
34,60322,68266,Team2,EUW1_7213551700
34,60889,69627,Team2,EUW1_7213551700
